Fiscal Date,Estimated EPS,Reported EPS
2024-03-31,2.82,2.94
2023-12-31,2.78,2.93
2023-09-30,2.65,2.99
2023-06-30,2.55,2.69
2023-03-31,2.23,2.45
2022-12-31,2.29,2.32
2022-09-30,2.3,2.35
2022-06-30,2.29,2.23
2022-03-31,2.19,2.22
2021-12-31,2.31,2.48
2021-09-30,2.07,2.27
2021-06-30,1.92,2.17
2021-03-31,1.78,1.95
2020-12-31,1.64,2.03
2020-09-30,1.54,1.82
2020-06-30,1.34,1.46
2020-03-31,1.26,1.4
2019-12-31,1.32,1.51
2019-09-30,1.25,1.38
2019-06-30,1.21,1.37
2019-03-31,1,1.14
2018-12-31,1.09,1.1
2018-09-30,0.96,1.14
2018-06-30,1.08,1.13
2018-03-31,0.85,0.95
2017-12-31,0.86,0.96
2017-09-30,0.72,0.84
2017-06-30,0.71,0.98
2017-03-31,0.7,0.73
2016-12-31,0.79,0.84
2016-09-30,0.68,0.76
2016-06-30,0.58,0.69
2016-03-31,0.64,0.62
2015-12-31,0.71,0.78
2015-09-30,0.59,0.67
2015-06-30,0.56,0.6
2015-03-31,0.51,0.61
2014-12-31,0.71,0.75
2014-09-30,0.49,0.54
2014-06-30,0.6,0.55
2014-03-31,0.63,0.68
2013-12-31,0.68,0.78
2013-09-30,0.54,0.62
2013-06-30,0.75,0.66
2013-03-31,0.68,0.72
2012-12-31,0.75,0.76
2012-09-30,0.56,0.53
2012-06-30,0.62,0.67
2012-03-31,0.57,0.6
2011-12-31,0.76,0.78
2011-09-30,0.68,0.68
2011-06-30,0.58,0.69
2011-03-31,0.56,0.61
2010-12-31,0.68,0.77
2010-09-30,0.55,0.62
2010-06-30,0.46,0.51
2010-03-31,0.42,0.45
2009-12-31,0.59,0.74
2009-09-30,0.32,0.4
2009-06-30,0.36,0.36
2009-03-31,0.39,0.39
2008-12-31,0.49,0.47
2008-09-30,0.47,0.48
2008-06-30,0.47,0.46
2008-03-31,0.44,0.47
2007-12-31,0.46,0.5
2007-09-30,0.39,0.45
2007-06-30,0.39,0.39
2007-03-31,0.46,0.49
2006-12-31,0.23,0.26
2006-09-30,0.31,0.35
2006-06-30,0.3,0.31
2006-03-31,0.33,0.32
2005-12-31,0.33,0.33
2005-09-30,0.3,0.31
2005-06-30,0.31,0.32
2005-03-31,0.32,0.32
2004-12-31,0.33,0.35
2004-09-30,0.3,0.31
2004-06-30,0.29,0.28
2004-03-31,0.29,0.34
2003-12-31,0.3,0.34
2003-09-30,0.29,0.3
2003-06-30,0.24,0.23
2003-03-31,0.24,0.27
2002-12-31,0.23,0.27
2002-09-30,0.21,0.28
2002-06-30,0.21,0.21
2002-03-31,0.25,0.25
2001-12-31,0.21,0.25
2001-09-30,0.2,0.22
2001-06-30,0.21,0.22
2001-03-31,0.21,0.22
2000-12-31,0.23,0.24
2000-09-30,0.21,0.23
2000-06-30,0.21,0.22
2000-03-31,0.2,0.22
1999-12-31,0.21,0.24
1999-09-30,0.17,0.19
1999-06-30,0.18,0.2
1999-03-31,0.16,0.19
1998-12-31,0.15,0.18
1998-09-30,0.12,0.14
1998-06-30,0.12,0.13
1998-03-31,0.12,0.13
1997-12-31,0.1,0.11
1997-09-30,0.09,0.09
1997-06-30,0.1,0.1
1997-03-31,0.08,0.1
1996-12-31,0.06,0.07
1996-09-30,0.06,0.06
1996-06-30,0.05,0.05
1996-03-31,0.05,0.06
